사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2025-01,1호선,0150,서울역,560,51,"8,353","7,685","20,145","46,128","61,204","103,944","101,648","212,041","82,745","143,188","84,689","84,059","100,778","84,201","117,895","98,491","115,677","98,587","100,616","92,390","123,489","105,002","136,918","108,439","194,132","125,921","226,622","139,109","126,968","99,249","91,632","70,567","93,721","64,819","61,489","45,228","28,021","23,793","4,266","6,765",239,237,0,0,0,0,2025-02-03 08:57:30
2025-01,1호선,0151,시청,89,0,"1,633","4,268","3,078","20,969","6,047","61,835","8,413","168,180","10,230","78,238","12,944","40,446","19,001","42,728","21,188","44,488","27,616","51,215","39,919","43,881","55,007","34,339","69,207","28,004","89,724","27,045","146,293","22,989","60,550","12,394","50,157","8,748","42,548","7,281","25,105","4,989","8,471","3,044",429,811,9,24,0,0,0,0,2025-02-03 08:57:30
2025-01,1호선,0152,종각,138,3,"4,176","4,949","3,897","28,257","5,592","99,730","9,001","234,423","10,885","129,348","15,958","55,283","25,375","54,132","30,702","50,033","38,596","54,426","51,096","45,280","65,643","41,445","83,262","41,884","143,005","46,444","203,922","46,683","93,066","23,397","79,473","12,018","77,659","9,173","56,829","6,455","24,793","4,161","1,714","1,049",12,16,0,0,0,0,2025-02-03 08:57:30
2025-01,1호선,0153,종로3가,140,9,"3,338","2,424","3,227","9,593","4,432","22,259","7,290","55,799","10,916","56,161","17,115","50,381","28,173","60,941","40,398","62,220","45,282","59,530","54,172","51,337","63,620","43,871","69,648","40,426","80,023","37,703","84,231","36,626","50,266","18,705","42,311","10,241","42,297","7,962","32,251","6,161","14,304","4,001","1,378","1,692",14,38,0,0,0,0,2025-02-03 08:57:30
2025-01,1호선,0154,종로5가,33,1,"1,504","2,880","2,611","12,776","4,801","34,550","8,449","77,766","11,518","53,056","19,655","49,201","29,640","53,383","38,432","50,347","46,746","50,541","54,644","47,253","59,242","40,398","62,857","35,723","79,436","31,788","81,789","27,686","42,757","14,865","30,765","8,583","27,186","6,211","15,062","4,783","4,851","3,106",255,809,0,21,0,0,0,0,2025-02-03 08:57:30
2025-01,1호선,0155,동대문,574,24,"9,298","1,703","7,860","5,151","11,813","8,559","18,158","15,811","18,430","18,049","16,026","20,262","17,468","24,872","22,384","25,646","25,385","26,082","27,184","24,958","27,875","24,307","28,303","22,684","26,663","21,429","23,573","21,212","16,634","18,842","14,155","13,464","12,642","13,031","9,308","12,924","4,945","8,278",701,"2,571",12,217,0,0,0,0,2025-02-03 08:57:30
2025-01,1호선,0156,신설동,362,10,"7,742","1,924","8,178","6,905","17,444","19,817","27,940","45,873","18,253","28,418","16,877","19,426","19,071","18,092","21,238","18,266","23,468","19,427","22,655","18,130","24,264","19,640","27,593","20,644","36,745","22,233","47,418","28,018","18,013","20,072","12,334","14,444","10,499","13,853","7,529","11,598","3,409","7,801",360,"2,314",3,46,0,0,0,0,2025-02-03 08:57:30
2025-01,1호선,0157,제기동,305,1,"4,599","2,124","7,544","8,403","18,179","18,059","27,346","32,939","19,846","28,400","22,156","35,802","30,131","48,588","39,187","50,713","42,384","53,088","48,430","50,324","52,009","39,642","49,715","33,170","42,855","25,530","35,211","23,917","18,371","16,477","12,333","11,216","7,975","10,118","5,118","8,651","2,214","5,610",189,"1,381",8,49,0,0,0,0,2025-02-03 08:57:30
2025-01,1호선,0158,청량리(서울시립대입구),830,15,"8,829","2,757","14,761","8,484","39,975","14,279","49,548","32,939","32,758","31,149","29,960","37,273","38,198","47,757","44,745","48,869","49,053","51,592","53,029","54,152","58,292","49,879","56,912","46,897","50,140","45,912","41,811","52,294","24,100","34,991","18,407","22,043","14,336","20,684","8,920","17,536","3,751","11,075",308,"3,378",5,64,0,0,0,0,2025-02-03 08:57:30
2025-01,1호선,0159,동묘앞,140,5,"2,218",815,"3,245","4,101","7,160","6,660","11,567","13,278","9,781","14,666","11,100","19,280","15,751","27,393","22,120","31,223","27,830","34,737","32,780","31,568","34,715","26,600","33,501","18,892","27,785","12,894","17,615","11,060","8,443","8,456","4,992","6,118","4,222","6,035","2,884","5,989","1,246","3,908",133,"1,749",2,214,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0201,시청,8,1,"1,021","1,689","2,125","17,385","4,666","63,189","7,236","198,788","10,634","81,367","15,858","27,728","22,511","25,834","22,297","27,211","26,817","29,571","35,902","27,742","44,661","24,076","53,182","20,669","97,967","21,521","156,857","21,010","60,117","11,781","44,857","8,153","38,570","7,400","22,708","5,878","8,601","3,685","1,063",980,1,51,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0202,을지로입구,43,2,"2,170","2,676","4,211","27,237","9,118","115,887","14,025","302,325","21,174","147,582","28,545","83,038","38,660","69,444","43,108","60,453","54,102","65,831","64,360","59,511","77,930","56,551","92,876","60,368","159,367","68,108","257,730","67,989","128,541","42,127","123,659","28,131","81,109","22,679","63,886","17,590","25,847","9,893","3,052","3,939",7,758,0,4,0,0,2025-02-03 08:57:30
