사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
2025-01,2호선,0203,을지로3가,11,0,"1,204","1,955","2,663","17,865","5,462","63,847","10,608","149,410","13,267","61,875","18,334","29,779","21,887","26,685","23,633","25,243","26,928","28,452","30,956","25,428","34,618","25,650","43,990","30,072","83,011","35,698","123,436","40,000","51,571","24,491","40,118","15,056","43,601","12,706","36,169","10,838","19,180","6,579","2,916","1,518",8,64,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0204,을지로4가,9,0,952,936,"2,182","11,082","4,943","30,234","10,216","65,971","11,012","33,500","14,868","22,890","18,125","23,003","18,731","20,866","20,196","20,585","23,054","19,951","26,333","18,704","30,775","16,876","53,392","16,993","58,836","16,758","24,698","11,629","15,508","8,981","12,858","9,098","8,814","8,588","4,190","5,519",724,"1,295",1,32,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0205,동대문역사문화공원(DDP),185,17,"4,006","1,028","3,506","7,800","5,527","16,671","10,490","37,826","12,834","26,241","14,691","26,567","17,161","26,603","20,861","28,604","21,583","29,150","25,729","30,115","30,126","28,951","33,921","27,976","42,555","29,109","43,377","33,139","28,883","28,764","22,889","21,364","21,658","16,973","17,597","14,377","8,038","8,803","1,512","2,320",13,85,0,1,0,0,2025-02-03 08:57:30
2025-01,2호선,0206,신당,48,1,"4,970","1,075","9,664","6,155","25,351","12,062","44,563","24,368","25,804","19,533","18,343","17,358","18,307","20,005","21,441","21,927","22,698","22,773","22,840","23,364","23,972","25,456","26,633","30,031","28,885","39,075","30,844","54,540","20,733","34,913","17,198","22,315","16,908","19,647","15,963","18,006","7,788","11,238","1,324","3,177",6,12,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0207,상왕십리,14,1,"5,231",772,"12,625","5,519","33,807","9,000","56,706","25,974","33,021","16,006","20,961","13,458","19,873","12,706","20,566","14,135","20,717","15,960","18,735","17,299","19,568","19,673","20,490","24,003","23,669","32,911","24,248","50,469","16,005","33,432","10,899","22,757","9,711","20,740","6,471","19,270","2,679","11,610",414,"3,807",2,19,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0208,왕십리(성동구청),483,1,"5,278",828,"8,264","6,964","21,080","9,942","37,911","22,156","24,575","18,204","17,261","14,534","17,613","16,385","20,814","17,683","22,262","19,125","21,653","20,463","22,863","22,305","26,325","25,730","30,328","35,778","31,682","52,237","21,016","31,951","20,205","21,202","21,894","18,179","21,789","17,410","12,150","11,239","2,077","4,175",22,43,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0209,한양대,3,0,859,497,"2,276","5,518","4,358","8,261","7,795","27,385","5,673","38,624","5,669","17,392","9,388","13,205","9,596","16,194","13,195","16,358","15,141","13,831","14,310","8,976","19,284","8,410","32,218","8,660","29,874","10,043","12,051","6,730","8,236","5,176","7,606","4,820","7,071","4,689","3,749","3,386",858,"1,022",1,5,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0210,뚝섬,4,0,"2,726","2,027","7,750","15,415","14,915","34,248","22,514","121,079","15,473","84,846","13,629","40,319","16,518","32,933","20,402","33,827","25,048","35,402","30,144","32,427","37,393","32,155","46,756","32,689","73,432","36,468","118,822","42,273","61,218","24,897","42,982","14,256","36,751","12,050","23,752","10,757","9,093","6,907","1,307","1,985",1,27,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0211,성수,76,3,"4,389","3,772","7,265","30,240","17,420","65,027","24,305","222,270","20,820","137,803","19,965","82,148","24,959","80,030","33,510","85,112","45,093","91,292","58,529","91,009","77,254","87,956","100,346","83,194","152,727","77,548","243,499","73,805","128,751","40,936","101,122","21,728","84,654","15,909","57,645","12,897","20,851","10,568","3,059","5,365",2,845,0,3,0,0,2025-02-03 08:57:30
2025-01,2호선,0212,건대입구,276,10,"14,290","1,633","19,840","12,536","44,473","19,729","77,591","47,435","57,024","42,475","36,726","37,860","35,585","43,810","41,569","50,685","46,531","56,261","48,348","58,708","53,581","64,035","61,264","76,171","71,409","99,655","78,607","138,131","60,544","95,765","63,615","61,295","67,863","56,326","70,198","48,705","42,968","29,211","6,510","9,877",25,885,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0213,구의(광진구청),68,6,"11,361","1,246","22,530","26,784","57,493","15,456","100,327","34,612","63,668","20,779","36,269","18,970","30,639","19,829","32,646","23,326","32,569","26,784","30,580","28,829","32,678","35,345","40,728","41,103","41,071","54,893","40,930","87,578","25,436","62,262","18,850","43,335","16,484","41,014","14,837","36,144","7,862","20,246","1,201","6,404",10,37,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0214,강변(동서울터미널),18,2,"7,515","1,648","19,001","17,697","55,514","19,028","85,384","35,493","65,760","31,739","54,924","32,556","49,602","32,330","46,990","36,956","45,316","40,027","42,600","43,526","44,463","50,369","46,740","52,843","49,927","63,014","50,691","81,822","35,452","58,201","27,347","41,262","22,585","32,541","14,465","29,500","5,352","16,161",626,"3,982",4,17,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0215,잠실나루,6,2,"3,133","3,052","11,076","16,305","30,846","19,066","39,327","32,164","28,029","21,454","22,995","16,791","22,924","15,307","21,660","18,425","20,419","19,434","22,098","18,338","23,863","18,630","30,695","20,064","35,310","26,011","26,513","35,301","13,106","26,257","9,753","16,203","7,047","16,059","4,812","15,024","2,159","8,118",302,"2,172",0,23,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0216,잠실(송파구청),65,13,"11,770","4,485","43,137","30,415","101,960","69,496","142,432","153,349","105,291","143,254","75,804","115,321","80,331","115,736","89,939","114,032","100,743","120,774","111,567","119,734","130,094","128,678","154,556","143,458","185,541","168,261","220,467","212,903","160,725","139,162","156,471","92,261","140,227","80,559","93,466","72,657","28,214","41,619","4,233","7,840",13,51,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0217,잠실새내,34,1,"5,340",908,"15,604","8,188","48,297","13,607","69,482","26,076","48,384","27,914","32,730","23,688","31,875","26,111","34,410","27,817","35,279","32,187","32,582","34,982","34,278","39,256","35,982","45,600","38,874","60,193","40,514","80,564","29,722","56,149","25,458","34,698","25,426","29,783","23,641","27,892","12,533","15,089","1,911","4,287",13,36,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0218,종합운동장,5,1,"1,334","1,160","5,527","10,200","13,582","11,218","18,971","16,405","14,319","12,359","10,670","9,469","9,888","7,968","11,614","10,857","10,286","13,002","14,742","11,719","11,482","10,591","17,456","12,330","14,694","17,601","14,634","28,908","8,031","15,874","10,353","10,247","11,808","9,379","3,266","8,740","1,601","4,864",267,"1,356",2,57,0,1,0,0,2025-02-03 08:57:30
2025-01,2호선,0219,삼성(무역센터),137,1,"4,100","5,078","6,010","40,069","12,641","119,575","17,170","280,885","18,502","212,242","21,649","104,723","32,587","75,580","41,835","71,963","55,407","76,950","69,836","66,399","91,262","60,292","116,863","58,236","199,244","59,708","260,245","57,513","139,028","30,471","114,144","17,825","94,150","13,871","55,435","10,456","14,672","5,863","1,955","4,062",3,930,0,10,0,0,2025-02-03 08:57:30
2025-01,2호선,0220,선릉,98,3,"4,662","5,523","10,259","36,556","19,297","106,515","30,451","248,911","29,839","187,374","32,990","91,934","42,712","62,330","51,452","59,061","59,944","65,257","71,679","55,309","93,452","48,318","118,693","47,287","187,170","51,970","255,253","55,402","129,486","36,196","85,285","23,223","81,486","20,104","67,422","17,481","24,117","10,782","3,728","4,172",6,58,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0221,역삼,36,4,"3,490","6,084","8,699","39,458","13,975","135,926","22,966","324,910","21,468","264,237","22,892","109,304","31,014","59,806","38,550","54,955","45,628","58,824","54,895","47,022","73,513","41,171","95,522","39,623","197,241","47,186","247,515","52,567","139,168","33,013","79,616","21,949","72,158","17,917","47,114","14,817","18,664","9,378","3,002","2,715",2,12,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0222,강남,180,12,"7,754","9,857","17,016","47,784","36,086","133,296","54,934","271,798","46,793","296,833","50,274","147,677","67,678","102,127","84,701","101,974","101,339","117,917","112,425","106,390","135,084","101,154","159,108","106,876","229,820","134,963","288,592","169,578","199,606","99,578","154,150","55,635","170,385","44,575","153,632","35,809","72,917","21,367","11,246","5,571",43,22,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0223,교대(법원.검찰청),23,1,"2,463","6,005","9,747","22,067","20,070","45,970","31,599","136,355","25,012","117,751","23,456","63,010","29,206","54,094","32,542","50,099","40,099","53,034","46,391","46,635","50,260","42,770","54,944","45,060","87,255","57,284","117,597","63,452","56,584","37,966","46,259","23,543","45,336","20,985","35,222","20,202","14,390","10,876","2,625","2,908",6,23,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0224,서초,4,0,"1,627","4,476","7,946","20,529","15,322","43,881","24,578","97,616","23,146","80,041","18,309","38,672","26,290","32,517","23,356","24,839","30,894","26,883","32,491","25,203","39,968","20,362","44,560","21,998","67,170","24,670","83,720","25,362","38,298","16,918","27,970","11,105","24,942","10,164","16,032","9,725","5,632","5,656",733,"1,242",3,9,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0225,방배,0,0,"2,087","3,033","7,780","11,054","17,869","21,979","26,269","58,033","20,347","40,554","16,515","21,156","17,609","18,136","19,301","20,370","22,611","20,603","22,474","19,751","24,261","20,273","29,730","20,685","38,995","25,575","51,546","31,271","23,716","22,488","19,459","15,020","16,968","13,888","13,191","14,110","5,452","7,707","1,048","2,227",5,14,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0226,사당,123,8,"13,188","3,590","32,757","31,569","81,596","38,084","106,115","61,388","81,865","46,474","57,817","40,947","54,146","52,785","59,901","54,096","64,095","53,136","67,608","53,758","68,508","64,202","71,560","84,184","87,041","121,930","102,117","162,454","71,332","110,810","65,284","67,438","69,832","60,230","67,116","54,713","37,543","34,413","5,777","9,567",15,455,0,25,0,0,2025-02-03 08:57:30
2025-01,2호선,0227,낙성대(강감찬),33,2,"9,976","1,940","22,869","8,194","69,018","12,983","106,677","34,956","72,517","28,953","41,327","23,269","36,079","23,718","38,737","25,429","39,116","27,634","35,550","30,996","34,161","36,267","37,222","41,470","41,557","56,038","46,368","90,054","26,574","75,183","20,583","51,013","18,880","47,283","14,588","46,264","7,749","28,490","1,246","7,099",1,63,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0228,서울대입구(관악구청),"4,097",28,"23,852","2,345","37,666","13,236","105,494","21,185","151,624","56,741","106,723","53,812","63,516","44,822","56,193","42,442","62,710","44,820","69,353","51,056","58,919","54,715","60,939","62,121","67,194","72,512","74,493","97,558","79,783","150,796","48,534","125,235","41,874","79,026","41,201","73,538","37,064","71,449","19,255","42,417","3,131","16,205",16,"2,994",0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0229,봉천,62,2,"13,088","1,236","24,116","5,817","69,864","10,068","106,118","23,310","67,030","18,562","38,639","18,429","33,119","20,635","35,209","23,446","35,145","26,047","31,247","28,555","30,619","36,734","30,060","41,442","30,905","52,780","30,809","79,711","18,868","65,924","15,498","42,473","13,332","39,749","10,385","36,992","4,868","22,188",829,"6,750",9,210,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0230,신림,175,15,"32,031","3,617","58,770","15,932","150,745","22,706","234,365","40,463","147,442","39,063","85,396","39,129","70,955","44,471","77,453","49,685","75,089","57,990","70,196","63,958","68,439","79,116","72,102","94,657","73,867","125,202","75,118","199,932","52,235","174,929","44,497","115,407","42,500","109,320","35,501","99,710","20,868","66,307","4,198","18,861",17,137,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0231,신대방,207,8,"20,347","1,782","29,011","8,145","74,165","12,001","113,738","21,531","73,943","16,361","42,323","17,041","34,989","18,317","35,846","21,404","35,356","25,170","30,481","28,261","29,538","36,961","30,820","42,912","31,430","56,196","29,112","80,420","19,521","69,184","14,623","50,415","11,630","52,082","9,270","48,893","4,200","28,799",847,"7,892",6,93,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0232,구로디지털단지,199,14,"33,233","4,276","45,261","18,508","118,302","70,149","159,817","194,238","102,292","122,168","65,099","53,066","59,394","43,826","67,164","49,191","66,664","61,997","61,943","59,998","68,862","66,189","80,745","77,954","125,033","101,493","180,417","145,508","89,523","116,842","57,473","79,011","47,083","76,966","37,121","72,544","17,455","43,414","3,091","12,131",14,287,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0233,대림(구로구청),568,12,"28,555","2,838","25,826","9,777","54,830","18,077","83,483","43,469","57,911","30,450","38,579","31,388","33,951","35,882","35,913","33,460","36,465","34,060","34,320","33,478","34,813","40,791","36,801","46,177","40,906","54,709","44,772","61,551","23,647","46,142","17,619","36,585","13,764","44,672","10,194","41,309","5,256","20,571",724,"5,001",13,179,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0234,신도림,"3,632",36,"30,343","4,587","46,352","17,091","118,007","36,725","132,274","93,387","81,720","64,954","57,165","57,128","57,195","61,694","67,169","63,356","70,779","68,636","74,173","67,103","77,776","74,175","83,555","85,974","103,296","107,956","114,840","158,563","68,673","111,509","61,711","67,909","56,030","64,010","44,585","58,882","21,881","44,513","2,370","18,873",25,"2,354",0,2,0,0,2025-02-03 08:57:30
2025-01,2호선,0235,문래,15,0,"3,918","2,315","12,624","9,385","36,891","34,330","44,430","120,467","24,483","57,531","18,491","25,481","19,236","22,557","23,398","25,841","25,098","27,404","26,395","26,198","28,628","27,878","35,029","32,095","60,883","40,766","101,581","57,459","38,594","38,680","28,660","20,961","30,434","18,783","25,588","16,341","12,383","9,576","2,061","2,945",5,91,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0236,영등포구청,33,1,"4,482","2,654","11,300","12,146","34,031","32,745","44,815","106,313","28,053","48,369","21,075","26,921","23,672","25,059","26,689","25,803","27,957","28,807","29,332","27,396","32,479","27,901","36,825","30,879","53,414","38,554","89,896","54,914","36,022","36,735","28,023","22,211","25,090","19,834","19,310","17,633","8,841","12,330","1,504","4,003",10,108,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0237,당산,29,8,"7,286","3,145","16,409","11,636","38,893","22,538","49,250","64,915","30,793","28,676","22,067","15,529","21,716","15,542","23,828","17,447","23,334","19,214","21,721","20,112","22,701","23,435","26,611","29,834","37,177","43,442","50,453","66,003","22,676","44,509","18,258","30,410","17,691","29,312","15,119","26,522","7,924","17,300","1,215","3,961",1,90,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0238,합정,139,10,"10,087","2,474","14,340","10,702","33,575","26,965","44,403","80,683","30,103","74,259","23,542","47,591","26,681","46,965","32,483","50,405","36,456","57,670","40,188","52,717","44,923","54,933","53,369","63,591","71,374","81,121","102,771","103,947","70,638","70,698","61,018","39,823","68,221","32,289","63,770","28,085","33,463","19,417","5,291","7,044",28,53,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0239,홍대입구,"1,187",44,"27,278","3,365","28,879","16,040","52,611","35,050","68,279","95,637","54,231","115,431","51,389","102,070","60,353","128,308","71,259","157,888","83,606","175,675","96,681","167,965","120,025","169,202","146,693","173,289","173,934","190,248","198,927","216,251","169,372","157,097","167,362","98,313","193,474","76,885","185,240","61,969","92,115","42,987","10,465","15,832",79,"1,858",0,3,0,0,2025-02-03 08:57:30
2025-01,2호선,0240,신촌,69,6,"5,953","2,395","12,673","14,467","30,167","28,534","45,297","68,259","33,929","79,465","34,044","57,921","42,571","55,967","53,702","59,294","57,786","70,055","60,657","61,068","67,643","58,683","78,323","63,812","90,811","77,864","89,023","99,291","63,170","67,960","66,213","41,419","63,668","37,030","61,662","31,870","29,433","21,613","4,515","4,963",19,33,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0241,이대,27,3,"2,944",719,"8,176","6,370","23,304","11,350","34,132","37,451","20,590","29,132","17,625","21,332","19,583","19,167","23,159","22,566","24,157","23,681","22,618","22,186","25,634","22,869","27,826","24,846","36,330","30,176","32,572","40,196","20,097","30,323","15,786","21,537","15,534","20,239","12,599","19,298","4,829","13,207",617,"3,511",2,19,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0242,아현,20,0,"3,856",707,"9,276","3,797","24,711","7,158","36,884","15,610","22,554","12,495","16,506","9,544","15,936","9,722","17,852","10,999","16,815","12,658","15,002","14,084","16,425","16,505","17,528","18,548","19,299","22,998","18,284","31,261","10,958","23,653","8,029","16,440","6,033","15,360","4,189","14,241","1,985","7,877",290,"2,226",0,17,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0243,충정로(경기대입구),20,1,"2,924",984,"5,848","5,727","13,156","19,891","19,696","53,706","13,243","23,146","10,771","11,213","11,580","9,583","11,480","10,220","12,525","12,152","12,592","11,442","13,019","11,977","17,332","13,288","30,313","16,385","42,108","20,282","13,707","14,057","9,371","10,088","8,448","10,015","5,780","8,792","2,646","5,645",582,"1,508",16,37,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0244,용답,18,1,"1,930",301,"2,765","1,145","6,365","1,632","12,125","2,289","7,315","2,098","5,008","1,880","4,229","2,374","4,368","2,818","4,748","3,183","4,339","3,557","4,173","4,422","4,694","5,559","4,462","6,346","3,714","10,418","2,165","7,010","1,444","5,002","1,136","5,468",911,"5,043",429,"3,078",80,995,0,5,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0245,신답,5,0,"1,090",70,"1,607",926,"5,149",769,"9,166","1,408","3,848",806,"2,419",898,"2,059","1,021","1,907","1,246","2,029","1,382","1,785","1,770","1,764","2,649","1,948","3,341","2,001","4,058","1,709","8,617",913,"5,764",550,"3,174",533,"3,392",306,"2,621",156,"1,697",36,477,0,1,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0246,신설동,44,4,979,301,"1,252","1,898","4,265","4,413","7,415","12,177","4,555","8,252","4,072","7,727","5,242","7,046","6,322","7,079","7,291","7,364","7,708","6,323","8,514","5,672","9,487","4,916","10,290","5,261","12,159","6,734","4,178","4,881","2,524","3,577","2,209","2,948","1,479","2,798",645,"1,865",95,646,1,118,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0247,도림천,2,0,351,346,"1,034",709,"2,743","2,581","3,142","4,951","1,984","2,100","2,388","1,573","1,764","1,289","2,245","1,851","1,725","1,822","2,215","1,756","1,910","1,620","2,564","1,964","2,910","2,376","3,061","3,233","1,656","2,480",796,"1,689",845,"1,501",447,"1,230",167,863,26,281,1,8,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0248,양천구청,43,0,"4,491",812,"10,014","2,085","26,292","3,964","25,357","8,011","15,051","4,564","10,961","4,322","10,214","4,883","10,614","6,330","10,073","7,394","8,053","8,120","7,880","10,594","8,316","13,038","8,793","17,813","8,062","26,516","3,802","21,624","2,793","13,222","2,139","11,942","1,928","9,358",632,"7,102",135,"2,066",0,20,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0249,신정네거리,95,0,"7,382",773,"14,965","2,331","41,043","3,465","38,326","9,455","21,689","7,555","16,091","7,100","15,403","8,522","16,064","9,442","14,463","11,267","12,837","12,750","12,169","16,183","12,269","20,469","12,005","28,635","10,598","43,005","6,714","32,154","5,194","18,706","4,153","16,716","3,324","15,127","1,602","9,148",328,"2,699",0,112,0,0,0,0,2025-02-03 08:57:30
2025-01,2호선,0250,용두(동대문구청),50,0,821,104,"1,471",772,"4,613","2,331","7,976","4,901","4,652","3,349","3,434","3,975","3,751","4,107","4,611","3,703","4,515","4,675","5,023","4,667","5,669","4,754","5,324","4,599","4,992","5,003","5,084","8,120","2,394","5,251","1,860","3,122","1,443","2,881",722,"2,172",358,"1,301",48,497,0,6,0,0,0,0,2025-02-03 08:57:30
2025-01,3호선,0309,지축,31,2,"2,721",660,"10,405","3,951","26,059","4,958","26,974","10,098","15,807","7,282","11,075","6,119","10,023","6,205","11,247","7,563","10,711","8,935","9,782","8,796","10,482","10,535","10,572","13,327","11,446","16,930","10,444","27,758","6,811","21,458","5,663","14,640","4,863","12,183","3,949","10,567","1,762","5,969",230,940,2,17,0,0,0,0,2025-02-03 08:57:30
2025-01,3호선,0310,구파발,162,1,"10,749","1,396","28,318","9,768","70,849","16,882","71,539","23,582","40,938","22,578","30,186","24,605","30,042","25,230","32,097","26,799","31,009","29,149","32,344","30,122","35,353","31,038","37,539","36,942","36,141","43,604","29,494","68,989","19,098","56,489","15,634","32,407","13,458","29,764","10,881","25,629","2,940","17,814",506,"6,918",0,255,0,15,0,0,2025-02-03 08:57:30
2025-01,3호선,0311,연신내,253,5,"21,781","1,876","40,392","11,747","97,652","18,346","121,734","33,900","74,841","33,659","53,712","33,813","52,709","36,684","57,477","39,804","55,988","44,646","51,749","49,210","52,576","58,486","54,971","67,060","53,627","82,052","49,784","121,786","36,000","97,275","29,559","59,911","25,719","54,837","22,225","46,347","11,139","29,522","1,982","9,259",3,29,1,11,0,0,2025-02-03 08:57:30
2025-01,3호선,0312,불광,14,0,"8,218","1,245","15,617","5,790","43,112","9,049","55,060","26,211","33,161","23,341","24,869","21,637","24,200","22,154","25,228","24,215","26,318","27,081","25,989","27,924","27,354","30,436","28,634","33,906","26,761","38,372","27,375","53,788","15,764","41,976","12,271","26,127","10,073","22,768","6,813","20,803","3,144","12,051",425,"3,577",0,20,0,0,0,0,2025-02-03 08:57:30
