사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2025-04,1호선,0150,서울역,712,48,"10,654","9,668","29,272","64,058","97,455","135,373","155,399","261,969","118,203","175,970","101,213","99,755","111,940","93,828","123,452","103,297","117,973","104,909","103,738","98,240","133,507","117,364","146,929","124,624","224,563","150,853","265,929","177,855","145,082","113,988","106,271","83,004","109,218","79,024","70,750","57,048","47,363","29,252","5,212","8,018",10,262,0,0,0,0,2025-05-03 10:22:56
2025-04,1호선,0151,시청,124,5,"2,267","5,900","3,888","28,761","7,841","84,305","10,722","221,985","13,612","98,129","16,118","50,987","21,365","46,047","24,832","41,519","34,064","43,954","42,289","34,289","57,005","28,728","71,682","26,400","104,360","26,880","173,376","25,784","65,359","13,532","57,800","9,715","50,460","8,268","30,570","5,761","10,163","3,763",606,"1,015",0,15,0,0,0,0,2025-05-03 10:22:56
2025-04,1호선,0152,종각,111,2,"4,119","6,777","4,648","39,955","7,136","127,188","11,204","286,486","15,032","154,974","21,361","66,362","31,108","60,510","35,726","52,704","45,802","52,242","57,198","44,536","69,348","39,126","90,187","41,687","166,223","48,863","228,712","49,925","100,534","26,308","94,340","15,195","96,733","10,638","65,783","7,435","27,547","4,475","1,970","1,200",1,2,0,0,0,0,2025-05-03 10:22:56
2025-04,1호선,0153,종로3가,171,10,"3,868","2,825","4,263","13,062","6,458","30,165","10,918","71,486","15,895","66,942","23,059","58,083","33,201","67,444","45,595","64,980","50,916","60,936","60,589","53,263","69,576","46,471","77,105","44,595","92,049","43,796","96,400","45,111","59,692","25,208","55,840","14,341","58,976","11,150","41,000","8,727","19,478","6,189","2,113","2,711",3,46,0,0,0,0,2025-05-03 10:22:56
2025-04,1호선,0154,종로5가,36,1,"2,144","3,717","3,339","16,961","6,526","44,798","11,147","94,804","15,653","66,599","25,153","59,526","35,310","61,374","44,335","54,852","52,882","53,995","62,178","50,463","64,666","42,089","70,216","39,263","89,895","36,571","92,908","34,315","51,324","19,779","37,497","10,875","34,104","8,179","22,363","6,328","5,893","3,871",516,984,0,1,0,1,0,0,2025-05-03 10:22:56
2025-04,1호선,0155,동대문,650,26,"11,355","2,005","10,238","7,181","18,411","13,000","23,460","21,085","22,404","22,546","19,709","24,313","20,233","27,325","23,766","25,559","26,188","25,164","28,645","24,527","28,462","23,450","28,688","23,543","27,750","23,655","25,700","24,598","19,951","23,481","17,100","16,990","15,294","15,703","11,790","15,311","5,837","9,939",938,"3,210",3,321,0,0,0,0,2025-05-03 10:22:56
2025-04,1호선,0156,신설동,381,18,"9,393","2,330","10,420","9,020","24,157","27,668","35,224","58,781","23,404","33,582","20,553","21,548","21,651","19,042","23,634","18,847","25,558","20,872","23,825","19,441","25,654","21,232","31,004","23,226","44,020","26,227","54,387","33,422","21,579","24,093","15,311","17,267","13,836","16,766","9,620","14,437","4,128","9,416",455,"3,039",0,0,1,2,0,0,2025-05-03 10:22:56
2025-04,1호선,0157,제기동,360,2,"5,371","2,495","9,893","11,107","24,329","22,620","34,844","40,718","24,509","34,079","26,293","38,686","33,022","47,956","38,598","48,415","41,275","48,961","46,694","46,751","49,372","37,762","48,422","34,984","46,159","28,603","40,490","28,995","21,934","19,051","14,143","12,771","9,163","12,097","5,775","10,103","2,523","6,377",181,"1,562",0,0,0,0,0,0,2025-05-03 10:22:56
2025-04,1호선,0158,청량리(서울시립대입구),"1,021",23,"10,925","2,846","19,709","11,685","53,099","18,965","62,902","42,396","39,247","39,933","34,736","41,186","39,856","47,799","45,757","48,396","49,151","49,539","51,434","51,365","54,211","49,619","55,953","50,114","53,809","53,060","48,483","63,288","27,964","40,172","21,186","25,716","16,885","24,554","10,398","20,797","4,277","12,260",346,"4,067",0,1,0,0,0,0,2025-05-03 10:22:56
