사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2025-03,2호선,0204,을지로4가,8,0,"1,194","1,096","2,357","13,790","6,455","34,507","13,335","75,368","16,017","39,025","19,734","26,500","21,630","26,432","21,667","24,342","24,455","24,308","27,739","23,249","30,330","21,982","36,821","21,740","61,533","22,285","69,228","22,381","31,248","15,945","20,131","12,265","16,861","11,480","11,423","10,926","5,775","7,205",950,"1,749",3,45,0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0205,동대문역사문화공원(DDP),247,23,"5,007","1,198","4,305","8,689","7,200","23,579","13,921","46,585","17,212","32,917","19,278","33,130","21,025","33,054","24,115","33,612","26,291","33,373","30,082","34,181","37,569","33,544","42,720","32,749","49,579","35,274","49,752","40,406","34,490","37,024","27,915","27,684","26,440","22,185","20,634","18,476","11,062","11,247","2,173","3,557",3,99,4,4,0,0,2025-04-03 10:13:54
2025-03,2호선,0206,신당,52,10,"5,592","1,191","10,837","7,580","30,641","15,826","53,535","30,753","30,571","22,486","21,705","19,466","20,773","22,392","23,700","22,834","24,977","23,756","24,562","25,287","26,864","28,114","28,911","32,905","31,682","41,871","34,689","58,894","24,894","40,923","19,743","26,344","19,268","23,420","16,763","21,056","8,258","12,249","1,501","3,795",2,59,0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0207,상왕십리,13,2,"5,860",728,"14,355","6,375","43,632","11,832","67,490","31,729","38,362","18,545","24,974","15,138","22,027","13,723","23,780","15,389","22,501","17,657","20,400","19,057","21,163","23,718","23,130","28,555","26,304","38,113","27,424","57,337","19,648","38,717","13,049","27,104","11,622","25,107","7,757","22,693","3,082","13,444",442,"4,120",0,51,0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0208,왕십리(성동구청),579,1,"6,118",955,"9,615","9,095","26,102","14,435","45,381","28,685","27,657","22,103","20,643","17,808","20,554","18,662","24,670","20,703","25,230","22,380","25,111","22,993","28,933","25,455","34,654","29,826","38,347","41,586","38,345","60,673","26,675","38,333","25,649","25,825","28,434","22,946","29,320","21,003","17,548","14,874","3,260","5,066",2,88,0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0209,한양대,14,8,"1,053",657,"2,701","8,939","5,648","13,738","8,989","81,013","7,207","64,014","9,568","62,021","15,263","19,870","19,023","43,761","21,938","26,924","29,661","22,304","39,897","17,069","50,005","14,440","60,208","18,955","47,703","22,850","23,901","11,004","19,994","7,550","22,283","7,010","12,392","6,460","6,508","4,690","1,259","1,310",4,19,0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0210,뚝섬,4,0,"3,194","2,213","9,144","17,109","19,884","41,457","27,254","140,109","17,681","98,845","16,673","47,467","20,003","41,026","24,935","41,458","29,587","44,607","36,477","40,899","45,420","40,817","57,055","40,844","88,774","45,325","139,404","53,228","75,388","30,635","54,591","17,727","47,823","14,561","28,869","12,864","11,003","8,148","1,406","2,507",3,45,1,1,0,0,2025-04-03 10:13:54
2025-03,2호선,0211,성수,77,6,"4,899","4,659","8,349","35,989","21,935","75,165","28,728","253,223","24,718","167,871","23,844","108,953","30,212","101,669","42,659","103,584","57,273","109,271","73,098","107,828","93,728","107,042","122,074","97,379","177,708","94,213","278,649","89,762","157,190","51,561","122,241","26,735","102,998","19,456","66,543","15,422","24,143","11,438","3,154","5,982",2,821,0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0212,건대입구,293,10,"14,917","1,875","21,625","14,423","54,693","23,980","92,964","63,879","66,844","50,157","44,473","49,237","42,791","52,872","50,095","57,139","54,170","63,321","57,600","64,598","62,967","71,948","71,758","85,084","83,960","114,412","93,806","161,166","72,720","110,961","75,616","71,629","81,308","65,673","82,899","56,989","50,025","33,443","7,608","11,526",11,"1,004",0,0,0,0,2025-04-03 10:13:53
2025-03,2호선,0213,구의(광진구청),59,7,"13,176","1,370","26,878","17,874","71,861","17,992","117,918","41,214","74,760","23,232","42,448","22,396","35,146","22,435","36,805","25,996","36,359","29,049","33,568","31,417","35,122","39,504","40,252","46,871","42,774","64,469","46,023","99,535","26,931","72,997","20,940","50,651","18,648","48,047","16,110","43,148","8,476","24,414","1,332","7,173",2,107,0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0214,강변(동서울터미널),22,0,"8,920","1,615","22,114","19,830","66,385","21,428","103,554","39,459","75,578","33,405","61,859","32,188","52,397","32,796","49,863","36,734","47,516","40,585","43,698","44,643","46,385","53,178","49,403","58,501","54,159","70,347","55,802","93,686","38,210","66,379","30,016","46,549","23,865","38,521","14,799","32,851","5,673","18,156",740,"4,373",0,37,0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0215,잠실나루,4,0,"3,390","3,283","13,263","19,670","40,205","22,543","48,558","36,662","32,998","23,141","26,096","17,934","25,185","16,124","23,329","20,026","22,155","21,049","22,627","19,743","25,518","21,340","34,471","23,795","39,221","29,618","30,477","42,452","15,062","30,838","10,723","19,513","8,068","19,112","5,564","17,689","2,609","9,678",445,"2,918",0,36,0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0216,잠실(송파구청),98,14,"13,326","4,718","52,113","36,393","122,169","82,230","172,313","170,194","128,028","155,083","91,350","123,521","92,328","123,976","102,378","121,658","112,208","130,363","119,801","128,769","138,663","142,673","166,596","160,961","203,788","195,718","239,224","247,471","172,547","166,502","164,120","109,441","151,303","97,898","103,842","85,973","33,009","47,813","4,606","10,149",0,171,0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0217,잠실새내,35,1,"5,762","1,048","18,864","8,918","65,424","18,409","89,014","29,732","57,784","31,349","40,096","26,085","37,499","29,025","38,900","34,141","37,472","37,190","33,933","40,047","37,234","47,873","41,352","54,404","44,245","69,965","45,565","91,681","35,144","65,353","29,753","40,347","30,192","36,079","28,923","33,070","14,772","17,866","2,212","5,290",0,128,0,0,0,0,2025-04-03 10:13:53
2025-03,2호선,0218,종합운동장,3,1,"1,573","1,426","6,254","17,584","18,708","23,559","23,899","27,653","24,055","16,115","15,700","18,192","15,207","21,549","21,160","37,824","19,408","40,769","16,615","20,388","29,489","23,733","44,452","31,998","37,337","47,807","20,682","52,392","15,014","21,883","37,539","12,967","46,398","12,845","6,996","10,895","1,972","5,559",372,"1,698",0,72,0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0219,삼성(무역센터),117,1,"4,647","5,644","7,370","49,188","15,123","144,070","21,127","322,970","21,407","253,608","24,931","125,599","38,451","89,117","49,840","80,969","65,837","87,502","82,260","77,063","106,804","65,110","138,392","62,434","230,925","64,452","293,952","62,402","157,445","35,241","125,496","20,234","103,296","15,847","67,098","12,189","18,368","6,897","2,216","4,013",0,"1,045",0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0220,선릉,127,3,"4,662","5,959","11,756","43,110","24,328","124,793","37,494","276,573","36,159","218,392","39,519","106,047","50,356","69,961","61,597","66,745","70,816","78,302","82,043","62,313","106,592","56,240","135,691","55,816","209,996","61,824","287,809","63,497","151,078","41,789","99,956","26,718","92,033","23,595","74,070","19,914","26,641","12,159","4,200","4,695",0,172,0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0221,역삼,52,3,"3,774","5,809","9,081","45,324","16,824","155,300","26,870","364,327","25,756","303,633","26,850","124,733","34,759","68,234","42,505","61,954","51,592","68,007","60,968","53,621","80,038","46,604","103,424","45,005","219,799","53,636","271,096","60,112","157,387","38,532","91,635","24,851","85,402","20,920","54,877","17,084","21,162","10,882","3,568","3,082",2,70,0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0222,강남,164,14,"7,882","11,349","17,927","55,897","41,382","155,213","64,746","308,162","55,523","327,740","57,818","158,325","74,376","108,848","91,829","106,297","108,103","121,702","120,529","111,615","143,846","104,015","170,192","116,382","250,700","149,830","316,202","185,172","219,351","111,357","171,180","63,658","192,508","52,223","165,881","41,316","75,445","23,891","12,113","6,564",1,151,0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0223,교대(법원.검찰청),20,0,"2,818","6,492","10,801","27,223","25,878","56,803","37,749","158,123","30,704","132,551","28,291","72,116","33,988","62,819","37,109","57,543","45,619","61,080","53,266","53,226","57,669","50,140","61,092","52,282","96,398","68,713","132,940","72,772","64,427","42,831","56,434","27,892","54,101","25,447","40,704","23,671","16,412","12,720","2,975","3,610",0,38,0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0224,서초,7,0,"1,703","4,610","9,176","24,706","19,344","53,796","29,800","114,471","28,536","92,701","22,893","47,137","30,573","37,745","28,376","29,027","38,528","29,876","39,180","28,832","46,911","24,042","52,836","26,825","75,187","29,062","94,516","28,713","46,440","20,316","32,870","13,182","31,526","11,875","17,921","11,423","5,947","6,488","1,035","1,608",0,12,0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0225,방배,1,0,"2,528","3,324","9,126","13,198","23,055","28,061","31,629","82,704","25,027","68,312","20,895","37,986","22,927","29,491","26,017","30,733","29,674","26,318","33,923","26,201","38,922","25,852","48,028","26,774","56,948","33,732","67,276","38,319","33,617","26,216","25,713","18,026","24,456","16,987","18,702","16,732","7,586","9,278","1,487","2,662",0,23,0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0226,사당,122,2,"12,717","4,240","31,689","34,193","82,969","51,088","105,520","74,442","80,845","58,249","55,542","51,916","52,802","66,470","58,456","65,269","63,409","58,918","70,606","59,294","72,714","72,238","74,455","96,357","88,212","140,558","106,735","186,205","76,882","124,570","74,278","79,501","79,819","72,865","74,018","65,938","39,723","39,899","6,445","11,387",5,658,0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0227,낙성대(강감찬),30,0,"11,289","2,224","26,875","9,295","86,201","21,196","123,414","44,777","81,894","36,796","47,970","30,856","41,860","26,891","44,475","29,154","44,655","31,948","39,956","34,099","40,906","40,759","42,600","47,374","49,909","65,620","55,582","103,331","32,574","86,139","26,052","59,094","23,757","57,723","18,303","55,134","9,992","33,592","1,764","9,190",1,138,0,0,0,0,2025-04-03 10:13:54
2025-03,2호선,0228,서울대입구(관악구청),"4,549",41,"26,162","2,435","44,218","14,509","128,395","29,639","175,799","76,075","121,536","68,044","72,868","60,025","64,321","50,028","71,966","53,415","78,449","59,290","68,481","60,173","73,454","69,670","80,019","81,315","91,887","111,384","96,744","174,612","60,693","141,864","53,051","91,463","55,049","88,321","48,078","85,228","26,022","50,041","4,546","19,292",0,"3,093",0,0,0,0,2025-04-03 10:13:54
