사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2025-05,1호선,0150,서울역,688,67,"10,783","10,374","28,788","65,184","90,177","127,458","151,470","241,420","121,799","173,299","107,330","107,071","120,554","102,596","136,363","112,334","128,103","110,573","109,089","100,942","139,680","117,071","154,396","125,876","221,567","149,015","252,289","173,736","144,704","119,129","106,540","88,200","111,385","82,681","75,904","62,690","40,326","32,808","4,299","8,636",18,174,0,0,0,0,2025-06-03 10:16:46
2025-05,1호선,0151,시청,121,3,"1,938","5,755","3,754","27,708","7,542","74,917","10,220","197,607","13,232","92,400","16,110","51,960","21,425","49,102","24,537","45,507","34,273","45,057","43,511","36,293","56,893","30,098","71,729","27,261","98,677","28,848","156,643","26,202","62,998","13,978","58,654","9,328","50,245","8,165","30,412","5,957","9,887","3,883",558,899,0,32,0,0,0,0,2025-06-03 10:16:46
2025-05,1호선,0152,종각,123,5,"4,308","6,182","4,490","37,918","6,934","111,722","10,338","251,173","13,609","139,717","19,287","65,148","29,367","64,261","36,133","57,961","44,956","55,914","57,305","45,403","70,806","41,765","90,034","43,344","153,352","47,578","207,901","48,501","95,764","24,152","85,725","13,620","85,689","10,083","59,844","7,636","25,251","4,907","1,849","1,197",0,1,0,0,0,0,2025-06-03 10:16:46
2025-05,1호선,0153,종로3가,235,16,"4,134","2,952","4,395","13,474","6,238","28,130","10,539","66,254","15,870","64,598","22,980","58,670","33,417","69,821","46,247","67,926","49,773","63,167","61,111","55,819","70,741","49,246","78,252","46,358","89,485","43,886","93,564","42,126","58,830","22,817","52,316","14,172","54,083","11,309","41,906","8,926","19,943","5,802","1,969","2,309",1,28,0,0,0,0,2025-06-03 10:16:46
2025-05,1호선,0154,종로5가,61,4,"2,085","3,801","3,316","17,700","6,317","41,844","10,856","85,359","16,574","61,775","26,261","60,818","36,716","63,893","45,576","57,583","53,250","55,062","62,928","51,853","65,436","44,015","72,578","40,831","88,115","36,222","87,752","32,458","48,815","18,149","35,299","11,132","31,506","7,953","20,545","6,143","5,756","3,838",399,"1,000",0,0,0,0,0,0,2025-06-03 10:16:46
2025-05,1호선,0155,동대문,695,16,"11,411","1,920","9,784","7,385","16,724","13,140","22,729","20,497","22,058","23,012","19,975","25,358","21,101","29,735","24,805","28,392","26,919","27,142","29,548","26,595","29,973","25,672","31,809","24,871","29,075","23,768","25,641","23,523","19,867","22,819","17,606","16,985","15,411","15,450","12,070","15,180","6,108","9,851",903,"3,141",8,284,0,0,0,0,2025-06-03 10:16:46
2025-05,1호선,0156,신설동,414,32,"9,502","2,362","10,403","9,078","22,203","25,943","32,851","53,520","23,382","32,022","21,078","21,757","22,403","20,386","24,599","19,569","25,712","21,241","24,424","19,817","25,719","22,019","31,563","23,740","42,411","26,173","51,467","31,725","21,232","23,013","15,014","17,361","13,569","16,853","9,296","14,996","4,003","9,707",444,"3,017",0,0,0,0,0,0,2025-06-03 10:16:46
2025-05,1호선,0157,제기동,412,3,"5,583","2,613","9,565","11,699","21,975","21,401","31,989","39,339","25,061","33,466","26,894","38,135","34,152","47,076","39,407","47,822","41,077","48,881","45,573","45,587","49,434","38,062","49,374","35,712","44,473","29,167","38,556","27,332","21,663","18,180","14,520","12,517","9,379","12,111","5,742","10,105","2,491","6,446",185,"1,514",0,0,0,0,0,0,2025-06-03 10:16:46
2025-05,1호선,0158,청량리(서울시립대입구),"1,130",22,"10,791","3,050","18,854","12,057","48,790","18,441","57,966","40,786","39,717","40,391","36,756","43,569","42,022","49,940","48,198","50,644","50,425","52,752","52,671","53,654","56,267","51,068","58,388","51,847","55,192","53,803","47,249","60,561","28,727","39,300","22,594","25,428","17,818","23,972","11,139","21,009","4,618","12,797",378,"4,101",0,0,3,1,0,0,2025-06-03 10:16:46
2025-05,1호선,0159,동묘앞,148,3,"2,859",986,"4,018","5,686","8,874","11,760","14,014","24,066","12,934","19,657","14,772","26,787","19,944","35,484","28,057","37,690","34,739","41,748","37,791","35,373","39,076","30,801","40,567","23,128","36,104","17,324","25,464","13,959","13,532","9,798","6,943","6,785","5,587","6,811","4,091","6,995","1,539","4,711",135,"2,029",3,178,0,0,0,0,2025-06-03 10:16:46
2025-05,2호선,0201,시청,15,0,"1,168","2,277","2,366","22,008","5,205","73,478","8,943","215,021","13,926","90,509","19,917","34,323","26,277","30,570","27,271","29,901","32,842","32,173","39,949","27,242","47,298","23,542","60,413","22,138","105,949","25,177","163,483","23,848","61,271","13,491","49,613","9,250","43,061","8,947","25,891","7,658","9,497","4,657","1,200","1,523",3,74,0,0,0,0,2025-06-03 10:16:46
2025-05,2호선,0202,을지로입구,107,2,"2,642","3,131","4,949","32,754","11,059","124,131","18,345","314,150","28,658","163,289","36,246","91,911","45,733","78,951","52,090","70,123","63,777","73,263","73,852","64,746","87,335","65,939","106,433","69,428","175,068","76,875","262,152","76,225","133,239","51,572","129,635","38,019","89,877","31,325","72,839","24,298","31,363","13,497","3,807","5,616",6,899,0,0,0,0,2025-06-03 10:16:46
2025-05,2호선,0203,을지로3가,40,0,"1,394","2,083","2,843","22,959","7,037","70,798","14,214","161,451","19,995","66,310","25,003","34,714","27,796","30,331","29,271","29,128","31,752","32,789","36,904","29,778","41,070","30,655","51,049","36,043","93,454","42,408","132,955","47,610","56,967","31,022","45,404","21,159","48,612","18,536","41,576","15,941","24,164","10,010","3,838","2,401",2,42,0,0,0,0,2025-06-03 10:16:46
2025-05,2호선,0204,을지로4가,14,0,"1,343","1,172","2,416","14,718","6,244","34,805","12,718","71,842","15,411","37,595","19,085","26,169","21,708","26,042","22,756","23,997","24,718","24,376","26,905","23,129","30,881","21,994","37,050","21,282","61,708","22,144","65,207","21,683","29,470","15,153","19,813","11,909","16,948","12,121","12,381","11,143","6,068","7,204","1,193","1,742",1,19,0,0,0,0,2025-06-03 10:16:46
2025-05,2호선,0205,동대문역사문화공원(DDP),330,19,"5,310","1,247","4,089","9,567","7,132","22,198","13,370","46,746","16,672","33,817","18,439","34,424","21,080","35,907","25,068","35,965","27,166","36,369","31,281","37,341","38,676","35,742","45,003","34,146","50,621","36,018","49,258","38,019","33,963","34,670","28,530","26,844","27,230","22,538","19,118","19,114","11,212","11,636","2,108","3,452",5,76,0,0,0,0,2025-06-03 10:16:46
2025-05,2호선,0206,신당,44,10,"6,046","1,269","11,874","7,822","30,838","16,375","51,085","30,751","30,645","22,365","22,451","19,324","22,428","21,918","24,105","22,699","24,973","23,499","24,998","24,816","26,287","27,490","28,851","32,258","31,516","41,846","33,907","57,026","23,799","38,149","19,720","25,836","17,776","23,758","16,318","20,777","8,292","12,928","1,558","3,873",3,48,0,0,0,0,2025-06-03 10:16:46
2025-05,2호선,0207,상왕십리,25,1,"6,323",882,"14,803","6,953","41,154","12,131","63,942","30,077","37,723","18,729","25,298","14,554","22,092","14,148","23,525","15,506","22,714","18,121","20,952","19,308","21,602","23,636","23,600","28,992","26,253","37,496","26,835","54,350","19,605","36,811","12,905","25,987","11,372","24,385","7,775","22,910","3,226","13,832",512,"4,385",0,23,0,0,0,0,2025-06-03 10:16:46
2025-05,2호선,0208,왕십리(성동구청),620,2,"6,754",946,"10,080","9,483","26,177","14,468","43,793","27,577","28,687","20,447","21,652","16,728","21,262","17,536","24,933","20,163","25,334","21,937","25,241","22,469","28,072","24,656","34,434","29,513","37,598","39,637","36,912","56,401","25,661","35,384","24,478","25,289","25,886","22,891","26,369","22,061","16,400","14,658","3,541","5,662",1,58,0,1,0,0,2025-06-03 10:16:46
2025-05,2호선,0209,한양대,1,0,"1,344",651,"2,942","7,720","6,033","14,111","8,743","66,052","7,162","55,973","9,671","54,277","15,131","20,173","20,219","41,310","18,752","26,969","26,061","23,891","34,057","19,073","45,510","16,520","54,181","20,718","41,197","24,584","22,398","13,885","21,091","9,417","23,034","8,271","17,326","7,305","16,274","5,177","3,522","1,721",1,14,0,0,0,0,2025-06-03 10:16:46
2025-05,2호선,0210,뚝섬,12,0,"3,560","2,288","9,722","16,029","19,404","40,663","26,716","134,473","18,431","95,999","17,574","50,516","20,925","44,876","25,787","45,580","31,651","47,247","38,310","42,797","48,555","42,917","59,463","43,617","89,626","46,537","134,738","51,781","76,292","31,106","57,482","18,079","47,692","15,420","29,851","13,062","10,912","8,562","1,622","2,720",2,45,0,0,0,0,2025-06-03 10:16:46
